Length	Diameter
0.455	0.365
0.35	0.265
0.53	0.42
0.44	0.365
0.33	0.255
0.425	0.3
0.53	0.415
0.545	0.425
0.475	0.37
0.55	0.44
0.525	0.38
0.43	0.35
0.49	0.38
0.535	0.405
0.47	0.355
0.5	0.4
0.355	0.28
0.44	0.34
0.365	0.295
0.45	0.32
0.355	0.28
0.38	0.275
0.565	0.44
0.55	0.415
0.615	0.48
0.56	0.44
0.58	0.45
0.59	0.445
0.605	0.475
0.575	0.425
0.58	0.47
0.68	0.56
0.665	0.525
0.68	0.55
0.705	0.55
0.465	0.355
0.54	0.475
0.45	0.355
0.575	0.445
0.355	0.29
0.45	0.335
0.55	0.425
0.24	0.175
0.205	0.15
0.21	0.15
0.39	0.295
0.47	0.37
0.46	0.375
0.325	0.245
0.525	0.425
0.52	0.41
0.4	0.32
0.485	0.36
0.47	0.36
0.405	0.31
0.5	0.4
0.445	0.35
0.47	0.385
0.245	0.19
0.505	0.4
0.45	0.345
0.505	0.405
0.53	0.41
0.425	0.325
0.52	0.4
0.475	0.355
0.565	0.44
0.595	0.495
0.475	0.39
0.31	0.235
0.555	0.425
0.4	0.32
0.595	0.475
0.57	0.48
0.605	0.45
0.6	0.475
0.595	0.475
0.6	0.47
0.555	0.425
0.615	0.475
0.575	0.445
0.62	0.51
0.52	0.425
0.595	0.475
0.58	0.45
0.57	0.465
0.625	0.465
0.56	0.44
0.46	0.355
0.575	0.45
0.565	0.425
0.555	0.44
0.595	0.465
0.625	0.495
0.695	0.56
0.665	0.535
0.535	0.435
0.47	0.375
0.47	0.37
0.475	0.375
0.36	0.265
0.55	0.435
0.53	0.435
0.53	0.415
0.605	0.47
0.52	0.41
0.545	0.43
0.5	0.4
0.51	0.39
0.435	0.395
0.495	0.395
0.465	0.36
0.435	0.32
0.425	0.35
0.545	0.41
0.53	0.415
0.49	0.375
0.44	0.34
0.56	0.43
0.405	0.305
0.47	0.365
0.385	0.295
0.515	0.425
0.37	0.265
0.36	0.28
0.27	0.195
0.375	0.275
0.385	0.29
0.7	0.535
0.71	0.54
0.595	0.48
0.44	0.35
0.325	0.26
0.35	0.26
0.265	0.2
0.425	0.33
0.305	0.23
0.345	0.255
0.405	0.325
0.375	0.285
0.565	0.445
0.55	0.45
0.65	0.52
0.56	0.455
0.475	0.375
0.49	0.38
0.46	0.35
0.28	0.205
0.175	0.13
0.17	0.13
0.59	0.475
0.605	0.5
0.635	0.515
0.605	0.485
0.565	0.45
0.515	0.405
0.575	0.46
0.645	0.485
0.58	0.455
0.575	0.46
0.605	0.465
0.605	0.485
0.61	0.485
0.725	0.56
0.65	0.545
0.725	0.57
0.725	0.575
0.68	0.57
0.705	0.56
0.68	0.515
0.695	0.55
0.53	0.395
0.525	0.435
0.52	0.405
0.235	0.16
0.36	0.26
0.315	0.21
0.315	0.245
0.225	0.16
0.58	0.475
0.57	0.48
0.64	0.51
0.56	0.45
0.62	0.475
0.645	0.51
0.62	0.49
0.63	0.48
0.63	0.5
0.63	0.48
0.585	0.46
0.615	0.48
0.61	0.485
0.58	0.45
0.355	0.275
0.51	0.4
0.5	0.405
0.505	0.41
0.64	0.5
0.56	0.45
0.585	0.46
0.45	0.345
0.5	0.4
0.5	0.4
0.53	0.435
0.42	0.335
0.44	0.34
0.4	0.3
0.435	0.34
0.525	0.415
0.37	0.28
0.49	0.365
0.335	0.25
0.415	0.325
0.5	0.405
0.485	0.395
0.55	0.405
0.45	0.35
0.405	0.3
0.47	0.36
0.415	0.305
0.445	0.325
0.47	0.35
0.49	0.375
0.445	0.355
0.425	0.38
0.5	0.37
0.39	0.29
0.365	0.27
0.58	0.465
0.53	0.415
0.555	0.445
0.565	0.44
0.625	0.505
0.275	0.215
0.44	0.35
0.295	0.225
0.075	0.055
0.13	0.1
0.11	0.09
0.16	0.12
0.565	0.425
0.27	0.2
0.23	0.175
0.3	0.23
0.33	0.255
0.35	0.26
0.32	0.245
0.36	0.275
0.305	0.245
0.345	0.27
0.33	0.25
0.59	0.47
0.595	0.455
0.575	0.46
0.6	0.495
0.56	0.45
0.56	0.45
0.545	0.46
0.635	0.505
0.59	0.475
0.54	0.475
0.57	0.44
0.53	0.42
0.245	0.195
0.27	0.2
0.46	0.38
0.52	0.45
0.35	0.275
0.47	0.39
0.45	0.36
0.64	0.525
0.59	0.5
0.62	0.485
0.63	0.505
0.63	0.515
0.655	0.54
0.66	0.53
0.61	0.5
0.635	0.525
0.515	0.425
0.535	0.415
0.36	0.285
0.455	0.355
0.485	0.395
0.515	0.38
0.535	0.415
0.53	0.435
0.495	0.4
0.44	0.355
0.535	0.435
0.54	0.435
0.565	0.505
0.61	0.475
0.565	0.455
0.6	0.495
0.295	0.215
0.275	0.205
0.28	0.21
0.49	0.395
0.37	0.28
0.405	0.305
0.54	0.435
0.37	0.28
0.36	0.27
0.47	0.36
0.2	0.145
0.165	0.12
0.645	0.515
0.55	0.41
0.57	0.435
0.63	0.485
0.56	0.44
0.595	0.455
0.62	0.47
0.63	0.485
0.45	0.355
0.635	0.535
0.45	0.35
0.58	0.455
0.33	0.255
0.265	0.21
0.19	0.145
0.385	0.31
0.265	0.205
0.335	0.265
0.355	0.275
0.32	0.255
0.51	0.4
0.36	0.295
0.36	0.28
0.5	0.38
0.4	0.325
0.3	0.22
0.235	0.175
0.74	0.6
0.62	0.465
0.6	0.475
0.59	0.45
0.62	0.475
0.565	0.45
0.575	0.455
0.62	0.51
0.62	0.465
0.505	0.375
0.46	0.425
0.49	0.39
0.525	0.42
0.34	0.26
0.375	0.305
0.61	0.48
0.61	0.495
0.585	0.45
0.57	0.46
